Codigo_Pais_Origen,Codigo_Pais_Destino,1960,1970,1980,1990,2000
MNP,IMN,0,0,0,0,0
MNP,LVA,0,0,0,0,0
MNP,LIE,0,0,0,0,0
MNP,MLT,0,0,0,0,0
MNP,MEX,0,4,0,0,0
MNP,FSM,2,2,77,155,167
MNP,NRU,2,0,0,0,0
MNP,NPL,0,0,0,0,0
MNP,NGA,0,0,0,0,0
MNP,NOR,0,0,0,0,0
MNP,PRI,1,4,5,0,49
MNP,SGP,0,0,0,0,0
MNP,SVK,0,0,0,0,0
MNP,SLB,5,5,10,1,3
MNP,ZAF,0,93,188,5,62
MNP,SUR,0,0,0,0,0
MNP,TWN,0,0,0,0,0
MNP,TCA,0,0,0,0,0
MNP,TUV,1,1,1,1,0
MNP,ARE,0,0,0,0,1
MNP,GBR,0,0,0,0,0
MNP,VIR,0,0,0,0,1
MNP,ZMB,0,0,19,0,0
NOR,AFG,0,0,0,0,0
NOR,ARG,31,200,380,129,0
NOR,AZE,0,0,0,0,0
NOR,BGD,0,0,0,0,0
NOR,BWA,0,0,11,112,5
NOR,BRA,668,416,613,228,143
NOR,BRN,0,0,0,0,0
NOR,KHM,9,7,0,0,5
NOR,CPV,1,1,2,2,2
NOR,CAF,0,0,0,0,0
NOR,COD,486,111,47,33,27
NOR,COK,0,0,0,0,0
NOR,CUB,3,3,1,0,0
NOR,CYP,0,0,0,0,92
NOR,DNK,9437,13291,13693,13697,16202
NOR,DJI,0,0,0,1,2
NOR,SLV,9,0,0,1,0
NOR,EST,0,0,0,0,0
NOR,FIN,525,524,618,943,1048
NOR,FRA,14420,5183,1615,2655,24328
NOR,GMB,0,0,0,0,0
NOR,GEO,0,0,0,0,0
NOR,GIB,0,1,0,0,2
NOR,GRD,0,0,0,0,0
NOR,HUN,927,995,860,733,690
NOR,ISL,307,524,550,712,838
NOR,IRQ,4,2,1,0,0
NOR,IRL,21,26,46,42,520
NOR,IMN,0,0,0,0,0
NOR,JOR,11,11,29,6,43
NOR,KIR,0,0,0,0,0
NOR,KWT,2,9,39,44,41
NOR,LAO,3,3,4,4,4
NOR,LSO,0,0,0,0,0
NOR,LBR,25,3,3,3,3
NOR,LBY,1,0,1,2,2
NOR,LUX,8,26,137,161,151
NOR,MDG,0,0,0,0,0
NOR,MWI,2,2,4,4,4
NOR,MYS,0,2,5,15,34
NOR,MLT,0,0,0,0,0
NOR,MHL,0,0,0,0,0
NOR,MYT,0,0,0,0,0
NOR,MEX,177,185,18,51,136
NOR,FSM,6,5,3,0,0
NOR,MDA,0,0,0,0,0
NOR,MNE,0,0,0,0,0
NOR,NLD,927,465,804,1853,2486
NOR,NZL,444,411,294,391,468
NOR,NFK,0,0,0,0,0
NOR,MNP,0,0,0,0,0
NOR,PLW,0,0,0,0,0
NOR,PRY,0,1,1,2,15
NOR,PER,106,91,73,75,61
NOR,PRT,12,31,81,171,0
NOR,PRI,0,0,0,0,7
NOR,ROU,318,273,192,137,1
NOR,RWA,28,1,0,1,1
NOR,SEN,2,1,1,2,2
NOR,SCG,57,58,104,72,265
NOR,SOM,3,2,1,2,2
NOR,KNA,0,0,0,0,0
NOR,SDN,12,12,15,48,58
NOR,THA,68,142,255,407,1274
NOR,TLS,0,0,0,0,0
NOR,UGA,0,0,86,186,6
NOR,UZB,0,0,0,0,0
NOR,ZMB,4,3,33,5,5
OMN,ALB,0,0,0,0,0
OMN,ASM,0,0,0,0,0
OMN,AGO,0,0,0,0,0
OMN,AZE,0,0,0,0,0
OMN,BLR,0,0,0,0,0
OMN,BMU,0,0,0,0,0
OMN,BWA,0,0,0,0,0
OMN,CHL,0,0,0,31,5
OMN,CHN,4,1,0,0,8
OMN,HRV,0,0,0,0,0
OMN,CZE,0,0,0,1,9
OMN,ECU,0,0,0,0,2
OMN,ERI,5,8,5,7,2
OMN,FRO,0,0,0,0,0
OMN,GAB,0,0,0,0,0
OMN,GEO,0,0,0,0,0
OMN,GHA,0,0,0,0,0
OMN,GIB,0,0,0,0,0
OMN,GRC,0,0,0,1,0
OMN,GLP,0,0,0,0,0
OMN,GUM,0,0,0,0,0
OMN,IRQ,694,426,249,146,0
OMN,ITA,1,1,2,9,40
OMN,KAZ,0,0,0,0,0
OMN,KEN,126,1326,1059,749,24
OMN,KOR,0,0,0,0,0
OMN,KGZ,0,0,0,0,0
OMN,LAO,0,0,0,0,0
OMN,LBY,3,37,95,140,167
OMN,LIE,0,0,0,0,0
OMN,MYS,0,1,3,11,16
OMN,MUS,0,0,0,0,0
OMN,MDA,0,0,0,0,0
OMN,MNE,0,0,0,0,0
OMN,MAR,17,5,3,3,2
OMN,NCL,0,0,0,0,0
OMN,MNP,0,0,0,0,0
OMN,PHL,3,3,14,2,11
OMN,POL,0,0,1,3,4
OMN,PRI,0,0,0,0,0
OMN,ROU,0,0,0,0,0
OMN,SLE,0,0,0,0,0
OMN,SVN,0,0,0,0,0
OMN,SLB,0,0,0,0,0
OMN,SOM,7,11,9,11,3
OMN,ZAF,1,1,1,0,15
OMN,SWZ,0,0,0,0,0
OMN,TZA,104,96,170,164,144
OMN,TLS,0,0,0,0,0
OMN,TTO,0,0,0,0,0
OMN,TUN,23,2,17,0,0
OMN,TKM,0,0,0,0,0
OMN,TCA,0,0,0,0,0
OMN,UGA,25,25,24,27,12
OMN,UKR,0,0,0,0,49
OMN,URY,0,0,0,0,0
OMN,VGB,0,0,0,0,0
OMN,YEM,2720,3367,4169,5161,6033
PAK,AFG,22451,23061,18490,13748,14877
PAK,ASM,0,0,0,0,0
PAK,ABW,3,3,2,3,5
PAK,BHS,0,23,7,16,18
PAK,BRB,2,0,0,3,3
PAK,BEL,81,129,1420,1899,1997
PAK,BMU,0,2,11,0,19
PAK,BTN,4,6,8,11,15
PAK,BOL,0,0,1,40,26
PAK,BIH,7,7,12,60,47
PAK,BRA,58,421,115,126,172
PAK,BRN,76,156,195,381,542
PAK,CPV,2,2,2,0,0
PAK,CHI,0,0,0,0,0
PAK,CHL,17,18,0,42,158
PAK,CHN,33,287,235,291,2460
PAK,COL,7,11,13,16,34
PAK,COD,128,6490,4078,2818,2307
PAK,COK,0,0,0,0,1
PAK,DMA,0,0,0,3,4
PAK,DOM,18,60,101,148,203
PAK,ECU,0,1,2,2,18
PAK,ERI,12,34,51,23,7
PAK,FJI,16,181,368,320,373
PAK,GMB,4,6,41,59,85
PAK,GHA,52,89,29,100,172
PAK,GRL,0,1,1,1,1
PAK,GUM,3,22,1,11,14
PAK,GTM,1,1,2,0,16
PAK,HKG,80,2224,4926,1070,20257
PAK,HUN,103,121,105,90,85
PAK,ISL,2,0,19,50,12
PAK,IRN,747,1328,5024,12034,8372
PAK,IRL,144,181,323,394,3046
PAK,IMN,0,0,0,0,0
PAK,ISR,203,241,241,2401,5420
PAK,ITA,647,978,1419,6447,24846
PAK,KAZ,0,0,0,0,0
PAK,KEN,310,3263,2606,1843,57
PAK,PRK,1,30,62,52,218
PAK,LVA,0,0,0,0,63
PAK,MWI,112,110,7,7,7
PAK,MLT,0,0,0,2,5
PAK,MHL,0,0,0,0,0
PAK,MNE,0,0,0,0,0
PAK,MSR,0,0,0,0,0
PAK,NZL,293,279,401,312,1304
PAK,SHN,0,0,0,0,0
PAK,SPM,0,0,0,0,0
PAK,VCT,0,0,0,0,0
PAK,SDN,107,102,131,446,538
PAK,SWE,11,1001,4450,2129,3066
PAK,TKL,0,0,0,0,0
PAK,TUV,0,0,0,0,0
PAK,USA,1970,8798,35058,92839,234081
PAK,VGB,0,0,0,0,0
PAK,WLF,0,0,0,0,0
PAK,YEM,1788,2213,2740,3392,3966
PAK,ZMB,24,19,381,57,51
PLW,AND,0,0,0,0,0
PLW,AGO,0,0,0,0,0
PLW,ARG,1,0,0,4,0
PLW,AUT,0,0,0,0,3
PLW,BEL,0,0,0,0,0
PLW,BRA,9,0,0,3,2
PLW,BRN,0,0,0,0,0
PLW,CPV,0,0,0,0,0
PLW,CYM,0,0,0,0,0
PLW,CHN,0,0,0,0,4
PLW,COM,0,0,0,0,0
PLW,CUB,0,0,5,9,24
PLW,CYP,0,0,0,0,0
PLW,CZE,0,0,0,0,1
PLW,DOM,2,2,1,0,0
PLW,ECU,0,0,0,0,0
PLW,EGY,0,0,0,2,0
PLW,SLV,0,0,0,0,0
PLW,GNQ,0,0,0,0,0
PLW,EST,0,0,0,0,0
PLW,ETH,0,0,0,0,0
PLW,GAB,0,0,0,0,0
PLW,GMB,0,0,0,0,0
PLW,GIB,0,0,0,0,0
PLW,GRL,0,0,0,0,0
PLW,GLP,0,1,2,5,5
PLW,GTM,0,0,0,0,0
PLW,HKG,1,0,0,0,8
PLW,KIR,2,1,3,9,0
PLW,LBN,0,0,0,0,0
PLW,MAC,0,0,0,0,0
PLW,MKD,0,0,0,0,0
PLW,MHL,32,39,48,59,0
PLW,FSM,3,3,114,230,167
PLW,MDA,0,0,0,0,0
PLW,MSR,0,0,0,0,0
PLW,NAM,0,0,0,0,0
PLW,NPL,0,0,0,0,0
PLW,ANT,0,0,0,4,0
PLW,NOR,0,0,0,0,3
PLW,OMN,0,0,0,0,0
PLW,PLW,0,0,0,0,0
PLW,PAN,0,0,0,0,0
PLW,QAT,0,0,0,0,0
PLW,REU,0,0,0,0,0
PLW,SPM,0,0,0,0,0
PLW,STP,0,0,0,0,0
PLW,SAU,0,0,0,0,0
PLW,SCG,0,0,0,0,0
PLW,SVN,0,0,0,0,0
PLW,TWN,0,0,0,0,0
PLW,TKL,0,0,0,0,1
PLW,TTO,1,0,1,0,0
PLW,URY,0,0,0,0,0
PLW,VUT,3,3,10,3,9
PLW,YEM,1,2,2,3,3
PAN,AFG,0,0,0,0,0
PAN,DZA,0,0,0,0,0
PAN,ASM,0,0,0,0,0
PAN,AIA,0,0,0,2,3
PAN,ABW,11,10,10,6,0
PAN,AUT,2,28,2,6,17
PAN,BRB,11,5,1,17,20
PAN,BMU,12,3,10,3,1
PAN,BOL,3,9,15,68,89
PAN,CAF,0,0,0,0,0
PAN,CHL,179,222,28,349,504
PAN,COL,1794,1927,1749,1648,1650
PAN,COG,0,0,0,0,0
PAN,CIV,0,0,0,0,0
PAN,DJI,0,0,0,0,0
PAN,ECU,7,13,20,21,329
PAN,EGY,0,10,21,6,3
PAN,FLK,0,0,0,0,0
PAN,PYF,0,0,0,0,0
PAN,DEU,21,20,14,132,148
PAN,GHA,0,0,0,0,0
PAN,HKG,0,0,0,0,1
PAN,IRN,0,0,0,0,0
PAN,ISR,0,0,0,8,18
PAN,KIR,0,0,0,0,0
PAN,KOR,0,0,0,0,0
PAN,KWT,0,0,0,1,0
PAN,LBN,0,0,0,0,0
PAN,LIE,0,0,0,0,0
PAN,MDG,0,0,0,0,0
PAN,MDV,0,0,0,0,0
PAN,MDA,0,0,0,0,0
PAN,NGA,0,0,4,1,2
PAN,NIU,0,0,0,0,0
PAN,MNP,0,0,0,0,0
PAN,OMN,0,0,0,0,0
PAN,PLW,0,0,0,0,0
PAN,PAN,0,0,0,0,0
PAN,PNG,0,0,0,0,0
PAN,PHL,0,0,0,1,0
PAN,POL,0,0,8,15,26
PAN,PRT,0,0,0,114,0
PAN,REU,0,0,0,0,0
PAN,STP,0,0,0,0,0
PAN,KNA,1,0,0,5,0
PAN,SDN,3,3,4,9,10
PAN,SUR,1,0,0,0,0
PAN,SWE,0,8,16,27,199
PAN,TUN,0,0,0,0,0
PAN,UKR,0,0,0,0,442
PAN,UZB,0,0,0,0,0
PAN,VEN,650,972,1236,1468,977
PAN,VGB,0,0,0,2,3
PAN,ZWE,0,0,0,0,0
PNG,ALB,0,0,0,0,0
PNG,AGO,0,0,0,0,0
PNG,ATG,0,0,0,0,0
PNG,ARM,0,0,0,0,0
PNG,BEL,0,0,4,0,0
PNG,BOL,0,0,0,0,1
